x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,0.3,0.9,-0.458123,0.0110889,-0.37481,0.805927,3.13539,-0.612475,0.726024,1.10947,1.53009,0.105576,-0.00323331,
-0.2,0.4,-0.1,0.809288,-0.273956,0.147917,0.498117,-0.522779,-0.254611,-0.83772,0.253241,0.690113,0.93504,-0.0455257,
-0.2,0.4,-0.1,0.817517,-0.0408083,0.498564,0.285366,-0.432133,-0.19212,-1.36828,0.230317,0.0329827,0.915924,0.312077,
-0.2,0.4,-0.1,0.30112,0.734389,0.297968,0.530297,-0.423624,-0.420061,-0.251316,0.0887571,-1.47866,-1.14645,0.016262,
-0.2,0.4,-0.1,0.637035,0.0647065,-0.592918,0.488312,-0.521388,-0.506434,0.726024,0.552105,0.135155,-0.805683,0.254009,
-0.2,0.4,-0.1,0.549896,0.218207,-0.0961681,0.80047,-0.403194,-0.610119,1.36828,0.442709,-1.46082,-0.170936,0.550625,
-0.2,0.4,-0.1,0.286396,0.384678,0.865462,0.144829,-0.481131,-0.0874845,-1.22866,0.549897,-1.48257,-0.133484,0.236989,
-0.2,0.4,-0.1,-0.146575,-0.385377,-0.753727,0.511758,-0.338932,-0.557714,1.3962,0.443455,0.919487,0.59006,0.646156,
-0.2,0.4,-0.1,-0.275142,0.233017,0.931199,-0.0535653,-0.417866,-0.477192,1.3962,0.414439,1.308,-0.815705,0.783823,
-0.2,0.4,0,0.240912,-0.109369,-0.658095,0.704919,-0.472937,-0.979785,1.3962,1.19897,-0.0643489,-0.330871,0.71711,
-0.2,0.4,0.3,-0.116554,0.704567,0.62546,-0.314325,2.75451,-1.40826,-0.865644,2.07289,1.21495,-0.760102,-0.259982,
-0.2,0.4,0.3,0.549896,0.218207,-0.0961681,0.80047,2.22088,-1.41883,-1.36828,2.0592,-1.39501,0.626766,0.0302283,
-0.2,0.4,0.3,-0.146575,-0.385377,-0.753727,0.511758,2.3736,-1.41775,-1.36828,2.17685,0.937908,-0.291123,0.596332,
-0.2,0.4,0.3,-0.0287899,-0.330411,-0.198548,0.922268,2.37557,-1.45465,-1.36828,1.92051,0.21442,0.969727,0.000275993,
-0.2,0.4,0.3,0.240912,-0.109369,-0.658095,0.704919,2.36583,-1.39784,-1.36828,2.15008,-0.177628,-0.404419,0.0218682,
-0.2,0.4,0.4,-0.649697,-0.357623,-0.35979,0.566172,2.10886,-1.32987,-1.36828,2.22398,1.2443,0.805389,0.656343,
-0.2,0.4,0.4,0.549896,0.218207,-0.0961681,0.80047,2.8482,-1.08719,-0.642252,2.10061,-1.14032,0.607435,0.193441,
-0.2,0.4,0.4,-0.146575,-0.385377,-0.753727,0.511758,2.97285,-0.998486,-0.6981,2.25339,1.29085,-0.0804706,0.520294,
