x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,-0.4,0.4,0.485216,0.809052,0.212872,-0.254334,1.92897,1.33601,1.36828,2.2922,-1.02428,-0.599919,-0.785263,
-0.2,-0.4,0.4,0.700479,0.509244,-0.424114,0.264815,1.97009,1.27044,1.3962,2.17114,1.04914,-0.238805,-0.183361,
-0.2,-0.4,0.4,-0.649697,-0.357623,-0.35979,0.566172,2.07876,1.31542,1.3962,2.19143,-1.15109,0.757724,-0.480261,
-0.2,-0.4,0.5,0.710471,0.667256,0.222215,-0.0249101,3.02906,0.542989,0.726024,2.15324,-0.982577,0.438174,-0.398861,
-0.2,-0.4,0.5,0.485216,0.809052,0.212872,-0.254334,2.99615,0.609862,0.614328,2.2386,-1.5569,0.124665,-0.73115,
-0.2,-0.4,0.5,0.844791,0.310368,-0.426841,-0.0883543,1.47372,1.3623,1.3962,2.01895,0.594042,0.452545,-0.652717,
-0.2,-0.4,0.5,0.700479,0.509244,-0.424114,0.264815,2.88035,0.751938,0.6981,2.13352,0.40542,-0.383905,-0.671678,
-0.2,-0.4,0.5,0.512994,0.653328,-0.137939,0.539419,3.10449,0.436873,0.670176,2.20988,-0.0049993,-0.456392,-0.0589836,
-0.2,-0.4,0.5,-0.649697,-0.357623,-0.35979,0.566172,1.45752,1.32613,1.3962,2.18431,-1.47246,0.202806,-0.290188,
-0.2,-0.4,0.5,0.637035,0.0647065,-0.592918,0.488312,3.1276,0.480724,0.753948,2.03555,1.22599,-0.552952,-0.735818,
-0.2,-0.4,0.5,0.549896,0.218207,-0.0961681,0.80047,3.13505,0.393017,0.614328,2.11099,0.677962,0.354375,0.139262,
-0.2,-0.4,0.6,0.710471,0.667256,0.222215,-0.0249101,2.83319,0.471537,0.55848,1.9563,-1.26183,0.370465,0.0902671,
-0.2,-0.4,0.6,0.485216,0.809052,0.212872,-0.254334,2.67636,0.787792,0.27924,2.04346,-1.56154,-0.4776,-0.388445,
-0.2,-0.4,0.6,0.930077,0.0704029,-0.204894,-0.296679,3.14062,1.57059,-0.642252,1.83608,-0.509121,0.978841,-0.0636254,
-0.2,-0.4,0.6,0.844791,0.310368,-0.426841,-0.0883543,1.02494,1.53379,1.3962,1.87626,0.255209,0.624756,-0.172141,
-0.2,-0.4,0.6,0.700479,0.509244,-0.424114,0.264815,2.86381,0.489137,0.614328,1.95976,0.15844,-0.05623,-0.778015,
-0.2,-0.4,0.6,0.512994,0.653328,-0.137939,0.539419,3.12605,0.0726568,0.809796,1.99933,-0.230552,0.0126015,-0.278002,
-0.2,-0.4,0.6,0.549896,0.218207,-0.0961681,0.80047,3.12452,0.10737,0.726024,1.88054,0.725463,0.552503,-0.319212,
-0.2,-0.4,0.7,0.485216,0.809052,0.212872,-0.254334,2.73992,0.666704,0.083772,1.74004,-1.56874,-0.582063,-0.0663285,
-0.2,-0.4,0.7,0.930077,0.0704029,-0.204894,-0.296679,2.87649,0.965631,-0.055848,1.58781,-0.421027,1.26449,-0.76089,
-0.2,-0.4,0.7,0.844791,0.310368,-0.426841,-0.0883543,2.77598,0.922627,0.027924,1.61616,0.0329135,0.664142,-0.760228,
-0.2,-0.4,0.7,0.700479,0.509244,-0.424114,0.264815,2.8687,0.361035,0.530556,1.67312,0.0273374,0.298756,-0.758179,
-0.2,-0.4,0.7,0.512994,0.653328,-0.137939,0.539419,3.09808,-0.0207846,0.83772,1.68282,-0.279708,0.413226,-0.211661,
-0.2,-0.4,0.7,-0.143417,-0.591127,0.78482,-0.118565,2.86052,0.59945,0.335088,1.75358,0.229811,-1.22733,-0.734505,
-0.2,-0.4,0.7,0.549896,0.218207,-0.0961681,0.80047,3.13225,0.0180048,0.781872,1.54329,0.927152,0.773844,-0.742676,
-0.2,-0.4,0.7,0.240912,-0.109369,-0.658095,0.704919,3.08637,0.0466133,0.83772,1.61757,1.46428,-0.718532,-0.597116,
-0.2,-0.4,0.7,-0.120001,-0.124899,0.946332,-0.272866,2.84534,0.60637,0.335088,1.5829,1.2522,-1.10277,-0.769674,
-0.2,-0.4,0.7,0.0988827,-0.014907,0.0111632,0.994925,3.14131,-0.00684032,0.670176,1.67845,1.483,0.917126,-0.0696339,
-0.2,-0.4,0.8,0.930077,0.0704029,-0.204894,-0.296679,3.07096,0.859849,-0.390936,1.21219,-1.44359,1.24917,0.258654,
